2026-05-17 03:55:49 | diagnostic | INFO | ==========================================
2026-05-17 03:55:49 | diagnostic | INFO | Engineer diagnistic
2026-05-17 03:55:49 | diagnostic | INFO | BASE_DIR : C:\Users\Yves-Ricky\idp_engine
2026-05-17 03:55:49 | diagnostic | INFO | ENV : development
2026-05-17 03:55:49 | diagnostic | INFO | GROQ_KEY : 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
2026-05-17 03:55:49 | diagnostic | INFO | ==========================================
2026-05-17 19:56:17 | __main__ | INFO | Running DataProcess as a standalone script...
2026-05-17 19:56:17 | __main__ | INFO | DataProcess initialized with:
2026-05-17 19:56:17 | __main__ | INFO | Train path: C:\Users\Yves-Ricky\idp_engine\data\train
2026-05-17 19:56:17 | __main__ | INFO | Test path: C:\Users\Yves-Ricky\idp_engine\data\test
2026-05-17 19:56:17 | __main__ | INFO | Batch size: 32
2026-05-17 19:56:17 | __main__ | INFO | Image size: 224
2026-05-17 19:56:17 | __main__ | INFO | Num workers: 4
2026-05-17 19:56:17 | __main__ | WARNING | Datasets not loaded yet. Calling load_datasets()...
2026-05-17 19:56:17 | __main__ | ERROR | Train path not found: C:\Users\Yves-Ricky\idp_engine\data\train
2026-05-17 20:00:29 | __main__ | INFO | Running DataProcess as a standalone script...
2026-05-17 20:00:29 | __main__ | INFO | DataProcess initialized with:
2026-05-17 20:00:29 | __main__ | INFO | Train path: C:\Users\Yves-Ricky\idp_engine\data\train
2026-05-17 20:00:29 | __main__ | INFO | Test path: C:\Users\Yves-Ricky\idp_engine\data\test
2026-05-17 20:00:29 | __main__ | INFO | Batch size: 32
2026-05-17 20:00:29 | __main__ | INFO | Image size: 224
2026-05-17 20:00:29 | __main__ | INFO | Num workers: 4
2026-05-17 20:00:29 | __main__ | WARNING | Datasets not loaded yet. Calling load_datasets()...
2026-05-17 20:00:29 | __main__ | INFO | Dataset paths validated successfully.
2026-05-17 20:00:29 | __main__ | INFO | Loading datasets...
2026-05-17 20:00:29 | __main__ | INFO | Train dataset size: 2500 images
2026-05-17 20:00:29 | __main__ | INFO | Test dataset size: 500 images
2026-05-17 20:00:29 | __main__ | INFO | Detected classes: ['budget', 'email', 'form', 'invoice', 'letter']
2026-05-17 20:00:29 | __main__ | INFO | DataLoaders created successfully.
2026-05-17 20:00:29 | __main__ | INFO | Classes detected: ['budget', 'email', 'form', 'invoice', 'letter']
